ErrorType,InjectionType,Key,Old Value,New Value,Error Message,SpecMessage,SpecCaught,SpecPlugin,Log Message,Reaction App,Reaction Spec,Pinpoint Spec,Vocab Spec,Pinpoint App,Vocab App,Personify App,LeakInt App,Comment
Semantic Error,inject/semantic,system/lyrebird/icp_a106/Size,20x2,20 x 4,Invalid character 'x' on line 690 of /tmp/lcdd-tmp.conf,"Key value failed to validate. Reason: Not a valid size declaration. Examples: 20x4, 19x3, 40x150",X,validation,"Invalid character 'x' on line 690 of /tmp/lcdd-tmp.conf
Could not read config file: /tmp/lcdd-tmp.conf
Critical error while processing settings, abort.",GOOD,GOOD,PARTLY,GOOD,GOOD,GOOD,BAD,GOOD,
Structure Error,inject/structure/section/remove,system/lyrebird/menu/PermissiveGoto,system/lyrebird/menu/PermissiveGoto,null,Error opening terminal: unknown.,,,type,Error opening terminal: unknown.,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Typo Error,inject/typo/change/char,system/lyrebird/CwLnx/Speed,19200,192Z0,,"Value '192Z0' not within range 9600, 19200",X,range,,NONE,GOOD,PARTLY,GOOD,NONE,NONE,NONE,NONE,
Structure Error,inject/structure/section/remove,system/lyrebird/NoritakeVFD/Speed,system/lyrebird/NoritakeVFD/Speed,null,,,,range,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Typo Error,inject/typo/transposition,system/lyrebird/ms6931/Size,16x2,12x6,,,,,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Structure Error,inject/structure/section/reallocate,system/lyrebird/lcdm001/ForwardKey,system/lyrebird/lcdm001/ForwardKey,system/lyrebird/EyeboxOne/Size,,,,type,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Typo Error,inject/typo/change/char,system/lyrebird/curses/Background,cyan,cOan,Error opening terminal: unknown.,"The type 'enum' failed to match for 'system/lyrebird/curses/system\/temporarySpec' with string: 'cOan'
Allowed values: 'red' 'black' 'green' 'yellow' 'blue' 'magenta' 'cyan' 'white'",X,type,Error opening terminal: unknown.,NONE,GOOD,GOOD,GOOD,NONE,NONE,NONE,NONE,BUG
Structure Error,inject/structure/section/duplicate,system/lyrebird/joy/Map_Button1,system/lyrebird/joy/Map_Button1,system/lyrebird/mdm166a/OffDimming,There is no output driver,,,,"There is no output driver
Critical error while initializing, abort.",DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,NO-BUG! (self written parser bug)
Typo Error,inject/typo/insertion,system/lyrebird/server/ServerScreen,on,Ton,Error opening terminal: unknown.,"The type 'enum' failed to match for 'system/lyrebird/server/system\/temporarySpec' with string: 'Ton'
Allowed values: 'off' 'on' 'blank'",X,type,Error opening terminal: unknown.,NONE,GOOD,GOOD,GOOD,NONE,NONE,NONE,NONE,
Typo Error,inject/typo/deletion,system/lyrebird/hd44780/Keypad,no,o,,The value 'o' of key 'system/lyrebird/hd44780/system\/temporarySpec' could not be normalized (type is 'boolean'),X,type,,NONE,GOOD,GOOD,BAD,NONE,NONE,NONE,NONE,BUG
